job_index,job_title,cv_index,score,Category,resume_preview
0,Support Technologist II 2024-02216,547,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,539,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,515,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,519,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,511,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,535,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,523,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,531,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,527,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
0,Support Technologist II 2024-02216,543,0.4238332909564005,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,539,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,531,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,535,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,547,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,511,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,515,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,543,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,519,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,523,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
10,IT Field Technician,527,0.23775829324285405,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,547,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,511,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,523,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,531,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,519,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,535,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,515,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,539,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,527,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
50,Information Security Analyst,543,0.249574709951893,Operations Manager,"Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- E..."
