title,company,location,score
University Relations - Data Science Product Manager Intern,Health Care Service Corporation,"Chicago, IL, US",0.12778282679013064
Engineering Intern,MTSI,"Beavercreek, OH, US",0.12456413688201137
IT Manager / Data Science-AI Program Coordinator for 20025-26 School Year,Kūlia Education Foundation,"Honolulu, HI, US",0.12359412735688659
Machine Learning Research Engineer,Integrity Careers LLC,"San Francisco, CA, USA",0.12154310381393535
Physician Psychiatry-Child/Adolescent - Competitive Salary,BAS Healthcare,"Ukiah, CA, USA",0.1192016792675186
Senior Director of Science,Valkyrie Intelligence,"Austin, TX, US",0.11376575429627879
"Scientist / Senior Scientist, Machine Learning",Seismic Therapeutic Inc,"Watertown, MA, USA",0.11111231188483117
Bilingual Spanish Customer Service Assistant Mailroom Manager,Community Collaborative LLC,"Denver, CO, USA",0.10363800262368851
"Senior Vice President, Audience Solutions Group",Publicis Groupe Holdings B.V,"New York, NY, US",0.10089412824291803
Syteline Technical Consultant,Excel Global Solutions,"Remote, US",0.09806689801878594
